hora,tipo_sinal,direcao,tamanho_canal_pct_atr,distancia_sma_pct_atr,rsi,vela_gatilho_corpo_pct,aceleracao_velas_contra,vela_1_antes_corpo_pct,vela_1_antes_favor,vela_2_antes_corpo_pct,vela_2_antes_favor,alvo_win
9,0,1,1.25,3.816761363636234,52.23199329295446,0.7142857142859157,0,0.5818181818183066,1,0.7040816326529294,1,1
9,0,1,1.0939691444599515,4.630715287517139,60.0944435773795,0.2680412371133501,0,0.8688524590162622,1,0.8780487804878246,-1,1
10,0,1,0.5457227138643324,3.395132743363114,55.78139356713663,0.2000000000000807,0,0.2340425531911476,1,0.8245614035087787,1,1
10,0,1,0.558912386706971,3.8796072507557553,58.810637735645486,0.3571428571429381,1,0.2000000000000807,-1,0.2340425531911476,1,1
12,0,-1,0.9379128137384164,5.466446499339487,33.01632267182812,0.3253012048192255,1,0.5384615384614947,-1,0.9508196721310072,1,1
13,0,-1,0.2983138780806458,2.826848249027281,47.67931694086607,0.7088607594934752,0,0.6176470588236447,1,0.5882352941175703,1,1
14,1,-1,0.6782106782106038,2.0727272727271817,50.63283068404312,0.3749999999997522,0,0.2727272727270158,1,0.8243243243243649,1,1
17,0,1,1.715610510046347,3.607264296754388,62.74058580722304,0.6777777777776846,0,0.5185185185186404,1,0.9323308270677294,1,1
17,0,1,1.659192825112059,3.761434977578514,63.97162830207529,0.1951219512194791,1,0.6777777777776846,-1,0.5185185185186404,1,1
19,0,1,0.6309148264983299,1.7312302839116582,46.98945914363519,0.2200000000001332,1,0.7195121951220239,-1,0.0,1,1
19,0,1,0.6633499170811651,1.0786069651741776,42.06269259247939,0.8333333333334704,0,0.0312499999995012,1,0.2200000000001332,1,1
19,1,1,0.6260296540359075,1.6120263591431936,50.10643158361383,0.6547619047620024,1,0.1406249999998861,-1,0.7846153846153531,1,1
19,0,-1,0.9139784946233896,2.8681451612900952,32.035343137411104,0.2931034482758555,0,0.2553191489364416,1,1.0,1,1
22,0,1,0.7584269662920884,4.684550561797736,52.24155744080991,0.5353535353537733,1,0.9193548387095156,-1,0.0454545454544995,1,1
8,0,-1,1.301115241635918,2.062825278810439,45.4721462334571,0.5797101449274057,0,0.1428571428571428,1,0.4693877551018466,1,0
8,0,-1,1.301115241635918,2.062825278810439,45.4721462334571,0.5797101449274057,0,0.1428571428571428,1,0.4693877551018466,1,0
9,0,-1,1.6212534059942043,3.985013623978104,32.58924346324558,0.7611940298505682,1,0.775510204081517,-1,0.865853658536526,1,0
12,0,1,0.7894736842102379,3.9830592105263576,61.71082425613848,0.1020408163263179,1,0.6274509803919007,-1,0.3384615384618012,1,1
13,0,1,0.7453416149065689,2.059937888198932,59.9570128051742,0.4916666666667052,1,0.1449275362318514,-1,0.2112676056339393,1,1
14,0,1,1.032702237521806,4.355765920826444,59.10380413209837,0.3620689655173008,0,0.6031746031747655,1,0.7558139534883451,1,1
14,0,1,1.3089005235602054,5.598080279231751,65.14849825571547,0.8888888888889802,0,0.3076923076919573,1,0.912621359223167,1,1
14,0,1,1.0984308131240252,2.4604850213981333,49.96355831231429,0.0930232558135451,0,0.1666666666667547,1,0.7722772277228093,-1,1
15,0,1,0.9339080459767686,2.797270114942709,54.71923188200585,0.6909090909091129,0,0.29577464788739,1,0.3484848484848383,1,1
16,0,1,1.0,3.203275862068964,67.15893477340603,0.25,0,0.4090909090908326,1,0.7938144329897426,1,1
17,0,1,0.9415584415584228,2.4228896103892903,59.01455737200978,0.6476190476190637,0,0.5131578947369266,1,0.25,-1,1
17,0,1,0.8605341246290645,2.699851632047612,62.55969364539149,0.5964912280699978,1,0.6476190476190637,-1,0.5131578947369266,1,1
18,0,-1,0.5580693815987726,0.3793363499243625,38.35072087910172,0.1538461538461275,0,0.2653061224489703,1,0.3921568627450468,1,1
